Sample01,Sample02,Sample03,Sample04,Sample05,Sample06,Sample07,Sample08,Sample09,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23
mlaD,group_333,group_333,group_975,group_975,group_975,bcp,ihfA,ihfA,group_1665,group_1665,hpf,ihfA,group_1665,ihfA,group_848,group_1665,ihfA,group_844,ihfA,,lpxK,
group_851,group_975,group_975,ompB_1,ompB_1,ompB_1,lpxL,group_1665,group_1665,bcp,bcp,group_1799,group_1665,bcp,group_1665,ihfA,bcp,group_1665,group_1660,group_1665,,group_336,
rnhA,ompB_1,ompB_1,group_334,group_334,group_334,lpxK,bcp,bcp,lpxL,lpxL,yrdA,bcp,lpxL,bcp,group_1665,lpxL,bcp,ccmF,bcp,,rlmJ,
group_1674,group_334,group_334,nagZ,nagZ,nagZ,group_336,lpxL,lpxL,lpxK,lpxK,folD,lpxL,lpxK,lpxL,bcp,lpxK,lpxL,group_332,lpxL,,ligA,
lpxI,nagZ,nagZ,group_848,group_848,group_848,rlmJ,lpxK,lpxK,group_336,group_336,group_670,lpxK,group_336,lpxK,lpxL,group_336,lpxK,group_846,lpxK,,tgt,
coaE,group_848,group_848,ihfA,ihfA,ihfA,ligA,group_336,group_336,rlmJ,rlmJ,group_114,group_336,rlmJ,group_336,lpxK,rlmJ,group_336,group_333,group_336,,group_2836,
dnaQ,ihfA,ihfA,group_1665,group_1665,group_1665,group_1669,rlmJ,rlmJ,ligA,ligA,group_113,rlmJ,ligA,rlmJ,group_336,ligA,rlmJ,group_975,rlmJ,,group_2837,
group_339,group_1665,group_1665,bcp,bcp,bcp,tgt,ligA,ligA,group_1669,group_1669,group_267,ligA,group_1669,ligA,rlmJ,group_1669,ligA,ompB_1,ligA,,group_2838,
recB,bcp,bcp,lpxL,lpxL,lpxL,group_1822,group_1669,group_1669,tgt,tgt,group_3,group_1669,tgt,group_1669,ligA,tgt,group_1669,group_334,group_1669,,group_976,
group_855,lpxL,lpxL,lpxK,lpxK,lpxK,group_153,tgt,tgt,group_1822,group_1822,group_2,tgt,group_1822,tgt,group_1669,group_1822,tgt,nagZ,tgt,,group_2839,
group_340,lpxK,lpxK,group_336,group_336,group_336,yhjE,group_1822,group_1822,group_153,group_153,group_115,group_1822,group_153,group_1822,tgt,group_153,group_1822,group_848,group_1822,,group_977,
group_856,group_336,group_336,rlmJ,rlmJ,rlmJ,group_976,group_153,group_153,yhjE,yhjE,group_268,group_153,yhjE,group_153,group_1822,yhjE,group_153,ihfA,group_153,,group_2840,
fabD,rlmJ,rlmJ,ligA,ligA,ligA,group_1672,yhjE,yhjE,group_976,group_976,group_269,yhjE,group_976,yhjE,group_153,group_976,yhjE,group_1665,yhjE,,mlaD,
group_341,ligA,ligA,group_1669,group_1669,group_1669,group_977,group_976,group_976,group_1672,group_1672,group_1800,group_976,group_1672,group_976,yhjE,group_1672,group_976,bcp,group_976,,group_851,
group_857,group_1669,group_1669,tgt,tgt,tgt,mlaD,group_1672,group_1672,group_977,group_977,group_965,group_1672,group_977,group_1672,group_976,group_977,group_1672,lpxL,group_1672,,rnhA,
group_342,tgt,tgt,group_850,group_850,group_850,group_851,group_977,group_977,mlaD,mlaD,nrdZ,group_977,mlaD,group_977,group_1672,mlaD,group_977,lpxK,group_977,,group_1674,
group_343,group_850,group_850,group_153,group_153,group_153,rnhA,mlaD,mlaD,group_851,group_851,group_672,mlaD,group_851,mlaD,group_977,group_851,mlaD,group_336,mlaD,,lpxI,
group_858,group_153,group_153,yhjE,yhjE,yhjE,group_1674,group_851,group_851,rnhA,rnhA,group_673,group_851,rnhA,group_851,mlaD,rnhA,group_851,rlmJ,group_851,,coaE,
group_1677,yhjE,yhjE,group_976,group_976,group_976,lpxI,rnhA,rnhA,group_1674,group_1674,group_966,rnhA,group_1674,rnhA,group_851,group_1674,rnhA,ligA,rnhA,,dnaQ,
group_859,group_976,group_976,group_1672,group_1672,group_1672,coaE,group_1674,group_1674,lpxI,lpxI,nrdB,group_1674,lpxI,group_1674,rnhA,lpxI,group_1674,group_1669,group_1674,,group_339,
group_155,group_1672,group_1672,mlaD,mlaD,mlaD,dnaQ,lpxI,lpxI,coaE,coaE,group_386,lpxI,coaE,lpxI,group_1674,coaE,lpxI,tgt,lpxI,,recB,
group_157,mlaD,mlaD,group_851,group_851,group_851,group_339,coaE,coaE,dnaQ,dnaQ,group_271,coaE,dnaQ,coaE,lpxI,dnaQ,coaE,group_1822,coaE,,group_855,
group_344,group_851,group_851,rnhA,rnhA,rnhA,recB,dnaQ,dnaQ,group_339,group_339,group_1503,dnaQ,group_339,dnaQ,coaE,group_339,dnaQ,group_154,dnaQ,,group_2841,
group_345,rnhA,rnhA,group_1674,group_1674,group_1674,group_855,group_339,group_339,recB,recB,group_1801,group_339,recB,group_339,dnaQ,recB,group_339,group_153,group_339,,fabD,
group_1678,group_1674,group_1674,lpxI,lpxI,lpxI,group_340,recB,recB,group_855,group_855,group_116,recB,group_855,recB,group_339,group_855,recB,yhjE,recB,,group_2842,
phaA,lpxI,lpxI,coaE,coaE,coaE,group_856,group_855,group_855,group_340,group_340,miaA,group_855,group_340,group_855,recB,group_340,group_855,group_976,group_855,,group_2843,
group_1680,coaE,coaE,dnaQ,dnaQ,dnaQ,fabD,group_340,group_340,group_856,group_856,group_675,group_340,group_856,group_340,group_855,group_856,group_340,group_1672,group_340,,group_2844,
group_346,dnaQ,dnaQ,group_339,group_339,group_339,group_341,group_856,group_856,fabD,fabD,algC,group_856,fabD,group_856,group_340,fabD,group_856,group_977,group_856,,group_2845,
group_347,group_339,group_339,recB,recB,recB,group_1823,fabD,fabD,group_341,group_341,lptB,fabD,group_341,fabD,group_856,group_341,fabD,mlaD,fabD,,group_342,
tlcA_5,recB,recB,group_855,group_855,group_855,group_342,group_341,group_341,group_1823,group_1823,lptA,group_341,group_1823,group_341,fabD,group_1823,group_341,group_851,group_341,,group_343,
group_860,group_855,group_855,group_340,group_340,group_340,group_343,group_1823,group_1823,group_342,group_342,group_273,group_1823,group_342,group_1823,group_341,group_342,group_1823,rnhA,group_1823,,group_2846,
group_158,group_340,group_340,group_856,group_856,group_856,group_858,group_342,group_342,group_343,group_343,kdsD,group_342,group_343,group_342,group_1823,group_343,group_342,group_1674,group_342,,group_2847,
group_159,group_856,group_856,fabD,fabD,fabD,group_859,group_343,group_343,group_858,group_858,pnp,group_343,group_858,group_343,group_342,group_858,group_343,lpxI,group_343,,group_2848,
group_861,fabD,fabD,group_341,group_341,group_341,group_155,group_858,group_858,group_859,group_859,rpsO,group_858,group_859,group_858,group_343,group_859,group_858,coaE,group_858,,group_2849,
group_862,group_341,group_341,group_857,group_857,group_857,group_1824,group_859,group_859,group_155,group_155,truB,group_859,group_155,group_859,group_858,group_155,group_859,dnaQ,group_859,,group_2850,
tlyC,group_857,group_857,group_342,group_342,group_342,group_344,group_155,group_155,group_1824,group_1824,tlcA_3,group_155,group_1824,group_155,group_859,group_1824,group_155,group_339,group_155,,group_346,
ybeY,group_342,group_342,group_343,group_343,group_343,group_345,group_1824,group_1824,group_344,group_344,group_1507,group_1824,group_344,group_1824,group_155,group_344,group_1824,recB,group_1824,,tlcA_5,
group_348,group_343,group_343,group_858,group_858,group_858,group_1678,group_344,group_344,group_345,group_345,group_679,group_344,group_345,group_344,group_1824,group_345,group_344,group_855,group_344,,group_159,
lipA,group_858,group_858,group_155,group_155,group_155,phaA,group_345,group_345,group_1678,group_1678,group_275,group_345,group_1678,group_345,group_344,group_1678,group_345,group_340,group_345,,group_2851,
glyA,group_155,group_155,group_156,group_156,group_156,group_1825,group_1678,group_1678,phaA,phaA,group_1508,group_1678,phaA,group_1678,group_345,phaA,group_1678,group_856,group_1678,,tlyC,
group_1686,group_156,group_156,group_344,group_344,group_344,group_346,phaA,phaA,group_1825,group_1825,def_3,phaA,group_1825,phaA,group_1678,group_1825,phaA,fabD,phaA,,ybeY,
grxD,group_344,group_344,group_345,group_345,group_345,group_347,group_1825,group_1825,group_346,group_346,group_1510,group_1825,group_346,group_1825,phaA,group_346,group_1825,group_341,group_1825,,group_348,
nth,group_345,group_345,group_1678,group_1678,group_1678,tlcA_5,group_346,group_346,group_347,group_347,group_680,group_346,group_347,group_346,group_1825,group_347,group_346,group_1823,group_346,,group_2852,
group_1688,group_1678,group_1678,phaA,phaA,phaA,group_860,group_347,group_347,tlcA_5,tlcA_5,group_681,group_347,tlcA_5,group_347,group_346,tlcA_5,group_347,group_342,group_347,,lipA,
group_160,phaA,phaA,group_1680,group_1680,group_1680,group_159,tlcA_5,tlcA_5,group_860,group_860,ppdK,tlcA_5,group_860,tlcA_5,group_347,group_860,tlcA_5,group_343,tlcA_5,,glyA,
group_864,group_1680,group_1680,group_346,group_346,group_346,group_861,group_860,group_860,group_159,group_159,fzlA,group_860,group_159,group_860,tlcA_5,group_159,group_860,group_858,group_860,,group_1686,
group_865,group_346,group_346,group_347,group_347,group_347,group_862,group_159,group_159,group_861,group_861,group_1513,group_159,group_861,group_159,group_860,group_861,group_159,group_859,group_159,,grxD,
group_349,group_347,group_347,tlcA_5,tlcA_5,tlcA_5,tlyC,group_861,group_861,group_862,group_862,group_1802,group_861,group_862,group_861,group_159,group_862,group_861,group_155,group_861,,nth,
rsmI,tlcA_5,tlcA_5,group_860,group_860,group_860,ybeY,group_862,group_862,tlyC,tlyC,fpgS,group_862,tlyC,group_862,group_861,tlyC,group_862,group_1824,group_862,,group_2853,
group_866,group_860,group_860,group_158,group_158,group_158,group_348,tlyC,tlyC,ybeY,ybeY,sodB,tlyC,ybeY,tlyC,group_862,ybeY,tlyC,group_344,tlyC,,group_2854,
tatA,group_158,group_158,group_159,group_159,group_159,lipA,ybeY,ybeY,group_348,group_348,group_684,ybeY,group_348,ybeY,tlyC,group_348,ybeY,group_345,ybeY,,group_161,
pgpA,group_159,group_159,group_861,group_861,group_861,glyA,group_348,group_348,lipA,lipA,group_22,group_348,lipA,group_348,ybeY,lipA,group_348,group_1678,group_348,,group_2855,
rplU,group_861,group_861,group_1898,group_1898,group_1898,group_1686,lipA,lipA,glyA,glyA,group_21,lipA,glyA,lipA,group_348,glyA,lipA,phaA,lipA,,group_864,
rpmA,group_1898,group_1898,tlyC,tlyC,tlyC,grxD,glyA,glyA,group_1686,group_1686,group_20,glyA,group_1686,glyA,lipA,group_1686,glyA,group_1825,glyA,,group_865,
lysC,tlyC,tlyC,ybeY,ybeY,ybeY,nth,group_1686,group_1686,grxD,grxD,birA,group_1686,grxD,group_1686,glyA,grxD,group_1686,group_346,group_1686,,rsmI,
group_870,ybeY,ybeY,group_348,group_348,group_348,group_1688,grxD,grxD,nth,nth,group_1514,grxD,nth,grxD,group_1686,nth,grxD,group_347,grxD,,group_866,
group_1692,group_348,group_348,lipA,lipA,lipA,group_160,nth,nth,group_1688,group_1688,group_1803,nth,group_1688,nth,grxD,group_1688,nth,tlcA_5,nth,,tatA,
group_871,lipA,lipA,glyA,glyA,glyA,group_161,group_1688,group_1688,group_160,group_160,group_277,group_1688,group_160,group_1688,nth,group_160,group_1688,group_860,group_1688,,pgpA,
proP_2,glyA,glyA,group_1686,group_1686,group_1686,group_1826,group_160,group_160,group_161,group_161,group_278,group_160,group_161,group_160,group_1688,group_161,group_160,group_159,group_160,,rplU,
group_1693,group_1686,group_1686,grxD,grxD,grxD,group_865,group_161,group_161,group_1826,group_1826,group_1516,group_161,group_1826,group_161,group_160,group_1826,group_161,group_861,group_161,,rpmA,
group_350,grxD,grxD,nth,nth,nth,group_349,group_1826,group_1826,group_865,group_865,group_1517,group_1826,group_865,group_1826,group_161,group_865,group_1826,group_862,group_1826,,lysC,
group_873,nth,nth,group_1688,group_1688,group_1688,rsmI,group_865,group_865,group_349,group_349,group_1518,group_865,group_349,group_865,group_1826,group_349,group_865,tlyC,group_865,,group_870,
gdh,group_1688,group_1688,group_160,group_160,group_160,group_866,group_349,group_349,rsmI,rsmI,infC,group_349,rsmI,group_349,group_865,rsmI,group_349,ybeY,group_349,,group_2856,
mnmE,group_160,group_160,group_864,group_864,group_864,tatA,rsmI,rsmI,group_866,group_866,sucB_2,rsmI,group_866,rsmI,group_349,group_866,rsmI,group_348,rsmI,,group_2857,
group_874,group_864,group_864,group_865,group_865,group_865,pgpA,group_866,group_866,tatA,tatA,prfA,group_866,tatA,group_866,rsmI,tatA,group_866,group_1843,group_866,,group_871,
group_351,group_865,group_865,group_349,group_349,group_349,rplU,tatA,tatA,pgpA,pgpA,recJ,tatA,pgpA,tatA,group_866,pgpA,tatA,lipA,tatA,,proP_2,
qacA_1,group_349,group_349,rsmI,rsmI,rsmI,rpmA,pgpA,pgpA,rplU,rplU,cmoM,pgpA,rplU,pgpA,tatA,rplU,pgpA,glyA,pgpA,,group_1693,
group_876,rsmI,rsmI,group_866,group_866,group_866,lysC,rplU,rplU,rpmA,rpmA,rho,rplU,rpmA,rplU,pgpA,rpmA,rplU,group_1686,rplU,,group_350,
qacA_2,group_866,group_866,tatA,tatA,tatA,group_870,rpmA,rpmA,lysC,lysC,group_1520,rpmA,lysC,rpmA,rplU,lysC,rpmA,grxD,rpmA,,group_873,
recA,tatA,tatA,pgpA,pgpA,pgpA,group_1827,lysC,lysC,group_870,group_870,ihfB_2,lysC,group_870,lysC,rpmA,group_870,lysC,nth,lysC,,gdh,
fabG,pgpA,pgpA,rplU,rplU,rplU,group_979,group_870,group_870,group_1827,group_1827,group_690,group_870,group_1827,group_870,lysC,group_1827,group_870,group_1688,group_870,,mnmE,
acpP,rplU,rplU,rpmA,rpmA,rpmA,group_1828,group_1827,group_1827,group_979,group_979,group_691,group_1827,group_979,group_1827,group_870,group_979,group_1827,group_160,group_1827,,group_2859,
fabF,rpmA,rpmA,lysC,lysC,lysC,group_871,group_979,group_979,group_1828,group_1828,yaaA,group_1828,group_1828,group_979,group_1827,group_1828,group_979,group_161,group_979,,group_2860,
uup,lysC,lysC,group_870,group_870,group_870,proP_2,group_1828,group_1828,group_871,group_871,group_1521,group_871,group_871,group_1828,group_1828,group_871,group_1828,group_1826,group_1828,,group_2861,
group_37,group_870,group_870,group_1827,group_1827,group_1827,group_1693,group_871,group_871,proP_2,proP_2,group_1522,proP_2,proP_2,group_871,group_871,proP_2,group_871,group_865,group_871,,qacA,
group_352,group_1827,group_1827,group_979,group_979,group_979,group_350,proP_2,proP_2,group_1693,group_1693,group_967,group_1693,group_1693,proP_2,proP_2,group_1693,proP_2,group_349,proP_2,,group_2863,
group_1698,group_979,group_979,group_1692,group_1692,group_1692,group_873,group_1693,group_1693,group_350,group_350,group_280,group_350,group_350,group_1693,group_1693,group_350,group_1693,rsmI,group_1693,,group_2864,
gmk,group_1692,group_1692,group_871,group_871,group_871,gdh,group_350,group_350,group_873,group_873,group_60,group_873,group_873,group_350,group_350,group_873,group_350,group_866,group_350,,recA,
group_162,group_871,group_871,proP_2,proP_2,proP_2,mnmE,group_873,group_873,gdh,gdh,group_692,gdh,gdh,group_873,group_873,gdh,group_873,tatA,group_873,,fabG,
mreC,proP_2,proP_2,group_1693,group_1693,group_1693,group_874,gdh,gdh,mnmE,mnmE,cmk,mnmE,mnmE,gdh,gdh,mnmE,gdh,pgpA,gdh,,group_2865,
mreB,group_1693,group_1693,group_350,group_350,group_350,group_351,mnmE,mnmE,group_874,group_874,group_1804,group_874,group_874,mnmE,mnmE,group_874,mnmE,rplU,mnmE,,acpP,
group_1701,group_350,group_350,group_873,group_873,group_873,qacA_1,group_874,group_874,group_351,group_351,rpsA,group_351,group_351,group_874,group_874,group_351,group_874,rpmA,group_874,,fabF,
pal,group_873,group_873,gdh,gdh,gdh,group_876,group_351,group_351,qacA_1,qacA_1,clpP,qacA_1,qacA_1,group_351,group_351,qacA_1,group_351,lysC,group_351,,uup,
group_353,gdh,gdh,mnmE,mnmE,mnmE,qacA_2,qacA_1,qacA_1,group_876,group_876,group_1525,group_876,group_876,qacA_1,qacA_1,group_876,qacA_1,group_870,qacA_1,,group_2866,
fabH,mnmE,mnmE,group_874,group_874,group_874,recA,group_876,group_876,qacA_2,qacA_2,fni,qacA_2,qacA_2,group_876,group_876,qacA_2,group_876,group_1827,group_876,,group_2867,
rpmF,group_874,group_874,group_351,group_351,group_351,fabG,qacA_2,qacA_2,recA,recA,group_696,recA,recA,qacA_2,qacA_2,recA,qacA_2,group_979,qacA_2,,group_1698,
group_354,group_351,group_351,qacA_1,qacA_1,qacA_1,group_1829,recA,recA,fabG,fabG,group_1526,fabG,fabG,recA,recA,fabG,recA,group_1828,recA,,gmk,
ftsY,qacA_1,qacA_1,group_876,group_876,group_876,acpP,fabG,fabG,group_1829,group_1829,group_697,group_1829,group_1829,fabG,fabG,group_1829,fabG,group_871,fabG,,group_162,
polA,group_876,group_876,qacA_2,qacA_2,qacA_2,fabF,group_1829,group_1829,acpP,acpP,glmU,acpP,acpP,group_1829,group_1829,acpP,group_1829,proP_2,group_1829,,mreC,
metK_1,qacA_2,qacA_2,recA,recA,recA,uup,acpP,acpP,fabF,fabF,group_699,fabF,fabF,acpP,acpP,fabF,acpP,group_1693,acpP,,mreB,
metK_2,recA,recA,fabG,fabG,fabG,group_37,fabF,fabF,uup,uup,ykgO,uup,uup,fabF,fabF,uup,fabF,group_350,fabF,,group_1701,
group_74,fabG,fabG,group_1899,group_1899,group_1899,group_352,uup,uup,group_37,group_37,group_5,group_37,group_37,uup,uup,group_37,uup,group_873,uup,,pal,
group_1705,group_1899,group_1899,acpP,acpP,acpP,group_1698,group_37,group_37,group_352,group_352,group_700,group_352,group_352,group_37,group_37,group_352,group_37,gdh,group_37,,group_2868,
group_1706,acpP,acpP,fabF,fabF,fabF,gmk,group_352,group_352,group_1698,group_1698,group_701,group_1698,group_1698,group_352,group_352,group_1698,group_352,mnmE,group_352,,fabH,
group_881,fabF,fabF,uup,uup,uup,group_162,group_1698,group_1698,gmk,gmk,group_1805,gmk,gmk,group_1698,group_1698,gmk,group_1698,group_874,group_1698,,rpmF,
dnaE1,uup,uup,group_37,group_37,group_37,mreC,gmk,gmk,group_162,group_162,group_702,group_162,group_162,gmk,gmk,group_162,gmk,group_351,gmk,,group_354,
rkpK,group_37,group_37,group_352,group_352,group_352,mreB,group_162,group_162,mreC,mreC,group_703,mreC,mreC,group_162,group_162,mreC,group_162,qacA_1,group_162,,ftsY,
group_882,group_38,group_352,group_1698,group_1698,group_1698,group_1701,mreC,mreC,mreB,mreB,dpnM,mreB,mreB,mreC,mreC,mreB,mreC,group_876,mreC,,polA,
group_883,group_352,group_1698,gmk,gmk,gmk,pal,mreB,mreB,group_1701,group_1701,group_283,group_1701,group_1701,mreB,mreB,group_1701,mreB,qacA_2,mreB,,metK_1,
tatC,group_1698,gmk,group_162,group_162,group_162,group_353,group_1701,group_1701,pal,pal,group_704,pal,pal,group_1701,group_1701,pal,group_1701,recA,group_1701,,group_2870,
serS,gmk,group_162,mreC,mreC,mreC,fabH,pal,pal,group_353,group_353,group_705,group_353,group_353,pal,pal,group_353,pal,fabG,pal,,group_2871,
virB4_2,group_162,mreC,mreB,mreB,mreB,rpmF,group_353,group_353,fabH,fabH,lpd3,fabH,fabH,group_353,group_353,fabH,group_353,group_1829,group_353,,group_2872,
group_886,mreC,mreB,group_1701,group_1701,group_1701,group_354,fabH,fabH,rpmF,rpmF,group_706,rpmF,rpmF,fabH,fabH,rpmF,fabH,acpP,fabH,,group_74,
alx,mreB,group_1701,pal,pal,pal,ftsY,rpmF,rpmF,group_354,group_354,group_1528,group_354,group_354,rpmF,rpmF,group_354,rpmF,fabF,rpmF,,group_881,
group_1710,group_1701,pal,group_353,group_353,group_353,polA,group_354,group_354,ftsY,ftsY,rnd_2,ftsY,ftsY,group_354,group_354,ftsY,group_354,uup,group_354,,dnaE1,
group_1711,pal,group_353,fabH,fabH,fabH,metK_1,ftsY,ftsY,polA,polA,group_708,polA,polA,ftsY,ftsY,polA,ftsY,group_37,ftsY,,rkpK,
higB-2,group_353,fabH,rpmF,rpmF,rpmF,metK_2,polA,polA,metK_1,metK_1,ygfZ,metK_1,metK_1,polA,polA,metK_1,polA,group_38,polA,,group_882,
higA-2,fabH,rpmF,group_354,group_354,group_354,group_1830,metK_1,metK_1,metK_2,metK_2,group_710,metK_2,metK_2,metK_1,metK_1,metK_2,metK_1,group_352,metK_1,,group_883,
nuoJ,rpmF,group_354,ftsY,ftsY,ftsY,group_74,metK_2,metK_2,group_1830,group_1830,group_284,group_1830,group_1830,metK_2,metK_2,group_1830,metK_2,group_1698,metK_2,,tatC,
nuoK,group_354,ftsY,polA,polA,polA,group_1705,group_1830,group_1830,group_74,group_74,group_1529,group_74,group_74,group_1830,group_1830,group_74,group_1830,gmk,group_1830,,serS,
nuoL,ftsY,polA,metK_1,metK_1,metK_1,group_1831,group_74,group_74,group_1705,group_1705,group_118,group_1705,group_1705,group_74,group_74,group_1705,group_74,group_162,group_74,,virB4_2,
ndhD1,polA,metK_1,metK_2,metK_2,metK_2,group_881,group_1705,group_1705,group_1831,group_1831,walK,group_881,group_1831,group_1705,group_1705,group_1831,group_1705,mreC,group_1705,,group_886,
ccmA,metK_1,metK_2,metK_3,metK_3,metK_3,dnaE1,group_1831,group_1831,group_881,group_881,group_285,dnaE1,group_881,group_1831,group_881,group_881,group_1831,mreB,group_1831,,alx,
nuoI,metK_2,metK_3,group_75,group_75,group_75,rkpK,group_881,group_881,dnaE1,dnaE1,hemC,rkpK,dnaE1,group_881,dnaE1,dnaE1,group_881,group_1701,group_881,,group_2873,
nuoH,metK_3,group_75,group_74,group_74,group_74,group_882,dnaE1,dnaE1,rkpK,rkpK,group_1806,group_882,rkpK,dnaE1,rkpK,rkpK,dnaE1,pal,dnaE1,,group_1711,
nqo3,group_75,group_74,group_1705,group_1705,group_1705,group_883,rkpK,rkpK,group_882,group_882,trpS,group_883,group_882,rkpK,group_882,group_882,rkpK,group_353,rkpK,,higB-2,
group_890,group_74,group_1705,group_1706,group_1706,group_1706,tatC,group_882,group_882,group_883,group_883,group_1531,tatC,group_883,group_882,group_883,group_883,group_882,fabH,group_882,,higA-2,
acnA,group_1705,group_1706,group_881,group_881,group_881,serS,group_883,group_883,tatC,tatC,group_713,serS,tatC,group_883,tatC,tatC,group_883,rpmF,group_883,,nuoJ,
atpC,group_1706,group_881,dnaE1,dnaE1,dnaE1,virB4_2,tatC,tatC,serS,serS,group_1532,virB4_2,serS,tatC,serS,serS,tatC,group_354,tatC,,nuoK,
atpD,group_881,dnaE1,rkpK,rkpK,rkpK,group_886,serS,serS,virB4_2,virB4_2,group_1533,group_886,virB4_2,serS,virB4_2,virB4_2,serS,ftsY,serS,,nuoL,
atpG,dnaE1,rkpK,group_882,group_882,group_882,alx,virB4_2,virB4_2,group_886,group_886,group_714,alx,group_886,virB4_2,group_886,group_886,virB4_2,polA,virB4_2,,ndhD1,
atpA,rkpK,group_882,group_883,group_883,group_883,group_1710,group_886,group_886,alx,alx,group_2682,group_1710,alx,group_886,alx,alx,group_886,metK_1,group_886,,ccmA,
atpH_2,group_882,group_883,tatC,tatC,tatC,group_1711,alx,alx,group_1710,group_1710,group_1534,group_1711,group_1710,alx,group_1710,group_1710,alx,metK_2,alx,,nuoI,
lpd,group_883,tatC,serS,serS,serS,higB-2,group_1710,group_1710,group_1711,group_1711,argO,higB-2,group_1711,group_1710,group_1711,group_1711,group_1710,group_1830,group_1710,,nuoH,
group_1719,tatC,serS,virB4_2,virB4_2,virB4_2,higA-2,group_1711,group_1711,higB-2,higB-2,ampG_2,higA-2,higB-2,group_1711,higB-2,higB-2,group_1711,group_74,group_1711,,nqo3,
group_897,serS,virB4_2,group_886,group_886,group_886,nuoJ,higB-2,higB-2,higA-2,higA-2,group_1807,nuoJ,higA-2,higB-2,higA-2,higA-2,higB-2,group_1705,higB-2,,group_890,
group_163,virB4_2,group_886,alx,alx,alx,nuoK,higA-2,higA-2,nuoJ,nuoJ,group_716,nuoK,nuoJ,higA-2,nuoJ,nuoJ,higA-2,group_1831,higA-2,,acnA,
bla,group_886,alx,group_1710,group_1710,group_1710,nuoL,nuoJ,nuoJ,nuoK,nuoK,group_717,nuoL,nuoK,nuoJ,nuoK,nuoK,nuoJ,group_881,nuoJ,,atpC,
mrcA,alx,group_1710,group_1711,group_1711,group_1711,ndhD1,nuoK,nuoK,nuoL,nuoL,group_1537,ndhD1,nuoL,nuoK,nuoL,nuoL,nuoK,dnaE1,nuoK,,atpD,
miaB,group_1710,group_1711,higB-2,higB-2,higB-2,ccmA,nuoL,nuoL,ndhD1,ndhD1,group_286,ccmA,ndhD1,nuoL,ndhD1,ndhD1,nuoL,rkpK,nuoL,,atpG,
group_357,group_1711,higB-2,higA-2,higA-2,higA-2,nuoI,ndhD1,ndhD1,ccmA,ccmA,group_718,nuoI,ccmA,ndhD1,ccmA,ccmA,ndhD1,group_882,ndhD1,,atpA,
group_358,higB-2,higA-2,nuoJ,nuoJ,nuoJ,nuoH,ccmA,ccmA,nuoI,nuoI,tlcA_4,nuoH,nuoI,ccmA,nuoI,nuoI,ccmA,group_883,ccmA,,atpH_2,
group_359,higA-2,nuoJ,nuoK,nuoK,nuoK,nqo3,nuoI,nuoI,nuoH,nuoH,group_719,nqo3,nuoH,nuoI,nuoH,nuoH,nuoI,tatC,nuoI,,lpd,
group_899,nuoJ,nuoK,nuoL,nuoL,nuoL,group_890,nuoH,nuoH,nqo3,nqo3,group_720,group_890,nqo3,nuoH,nqo3,nqo3,nuoH,serS,nuoH,,dps,
group_164,nuoK,nuoL,ndhD1,ndhD1,ndhD1,acnA,nqo3,nqo3,group_890,group_890,group_287,acnA,group_890,nqo3,group_890,group_890,nqo3,virB4_2,nqo3,,group_2875,
group_900,nuoL,ndhD1,ccmA,ccmA,ccmA,atpC,group_890,group_890,acnA,acnA,adiC,atpC,acnA,group_890,acnA,acnA,group_890,group_886,group_890,,group_2876,
kefC,ndhD1,ccmA,nuoI,nuoI,nuoI,atpD,acnA,acnA,atpC,atpC,group_722,atpD,atpC,acnA,atpC,atpC,acnA,alx,acnA,,group_897,
rsfS,ccmA,nuoI,nuoH,nuoH,nuoH,atpG,atpC,atpC,atpD,atpD,group_288,atpG,atpD,atpC,atpD,atpD,atpC,group_1710,atpC,,group_163,
group_1723,nuoI,nuoH,nqo3,nqo3,nqo3,atpA,atpD,atpD,atpG,atpG,iscA,atpA,atpG,atpD,atpG,atpG,atpD,group_1711,atpD,,group_2877,
ompB_2,nuoH,nqo3,group_890,group_890,group_890,atpH_2,atpG,atpG,atpA,atpA,iscU,atpH_2,atpA,atpG,atpA,atpA,atpG,higB-2,atpG,,mrcA,
group_1725,nqo3,group_890,acnA,acnA,acnA,lpd,atpA,atpA,atpH_2,atpH_2,iscS_1,lpd,atpH_2,atpA,atpH_2,atpH_2,atpA,higA-2,atpA,,miaB,
group_360,group_890,acnA,atpC,atpC,atpC,group_1719,atpH_2,atpH_2,lpd,lpd,iscS_2,group_1719,lpd,atpH_2,lpd,lpd,atpH_2,nuoJ,atpH_2,,group_357,
group_39,acnA,atpC,atpD,atpD,atpD,group_897,lpd,lpd,group_1719,group_1719,iscR,group_897,group_1719,lpd,group_1719,group_1719,lpd,nuoK,lpd,,group_2878,
group_40,atpC,atpD,atpG,atpG,atpG,group_163,group_1719,group_1719,group_897,group_897,group_120,group_163,group_897,group_1719,group_897,group_897,group_1719,nuoL,group_1719,,group_2879,
group_41,atpD,atpG,atpA,atpA,atpA,bla,group_897,group_897,group_163,group_163,group_968,bla,group_163,group_897,group_163,group_163,group_897,ndhD1,group_897,,group_359,
group_1726,atpG,atpA,atpH_2,atpH_2,atpH_2,mrcA,group_163,group_163,bla,bla,group_1542,mrcA,bla,group_163,bla,bla,group_163,ccmA,group_163,,group_2880,
