Sample01,Sample02,Sample03,Sample04,Sample05,Sample06,Sample07,Sample08,Sample09,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23
group_1289,group_421,group_421,group_421,group_421,group_421,pgsA,yidC,yidC,pgsA,pgsA,rpsH,yidC,pgsA,yidC,ybdG,pgsA,yidC,yidC,yidC,group_1956,ybdG,group_1006
group_84,group_422,group_422,group_422,group_422,group_422,group_421,pgsA,pgsA,group_421,group_421,rpsN,pgsA,group_421,pgsA,yidC,group_421,pgsA,pgsA,pgsA,group_1019,yidC,group_2965
group_182,group_1289,group_1289,group_1289,group_1289,group_1289,group_422,group_421,group_421,group_422,group_422,rplE,group_421,group_422,group_421,pgsA,group_422,group_421,group_421,group_421,group_1020,pgsA,group_1005
group_423,group_84,group_84,group_84,group_84,group_84,group_1289,group_422,group_422,group_1289,group_1289,rplX,group_422,group_1289,group_422,group_421,group_1289,group_422,group_422,group_422,group_1957,group_421,ftsH
group_1290,group_182,group_182,group_182,group_182,group_182,group_84,group_1289,group_1289,group_84,group_84,rplN,group_1289,group_84,group_1289,group_422,group_84,group_1289,group_1289,group_1289,group_1958,group_422,group_2966
def_1,group_423,group_423,group_423,group_423,group_423,group_182,group_84,group_84,group_182,group_182,rpsQ,group_84,group_182,group_84,group_1289,group_182,group_84,group_84,group_84,group_1021,group_2480,group_2967
tlcA_1,group_1290,group_1290,group_1290,group_1290,group_1290,group_423,group_182,group_182,group_423,group_423,group_811,group_182,group_423,group_182,group_84,group_423,group_182,group_182,group_182,alr,group_84,rpsR
glpT,def_1,def_1,def_1,def_1,def_1,group_1290,group_423,group_423,group_1290,group_1290,rplP,group_423,group_1290,group_423,group_182,group_1290,group_423,group_423,group_423,group_1022,def_1,rpsF
ndk,tlcA_1,tlcA_1,tlcA_1,tlcA_1,tlcA_1,def_1,group_1290,group_1290,def_1,def_1,rpsC,group_1290,def_1,group_1290,group_423,def_1,group_1290,group_1290,group_1290,group_1023,tlcA_1,group_1004
mnmG,glpT,glpT,glpT,glpT,glpT,tlcA_1,def_1,def_1,tlcA_1,tlcA_1,rplV,def_1,tlcA_1,def_1,group_1290,tlcA_1,def_1,def_1,def_1,group_1960,glpT,group_2968
rsmG,ndk,ndk,ndk,ndk,ndk,glpT,tlcA_1,tlcA_1,glpT,glpT,rpsS,tlcA_1,glpT,tlcA_1,def_1,glpT,tlcA_1,tlcA_1,tlcA_1,group_1961,ndk,group_1003
parA,mnmG,mnmG,mnmG,mnmG,mnmG,ndk,glpT,glpT,ndk,ndk,rplB,glpT,ndk,glpT,tlcA_1,ndk,glpT,glpT,glpT,group_1962,mnmG,group_1002
spo0J,rsmG,rsmG,rsmG,rsmG,rsmG,mnmG,ndk,ndk,mnmG,mnmG,rplW,ndk,mnmG,ndk,glpT,mnmG,ndk,ndk,ndk,group_1963,rsmG,group_2969
group_426,parA,parA,parA,parA,parA,rsmG,mnmG,mnmG,rsmG,rsmG,rplD,mnmG,rsmG,mnmG,ndk,rsmG,mnmG,mnmG,mnmG,group_1964,parA,group_2970
ettA,spo0J,spo0J,spo0J,spo0J,spo0J,parA,rsmG,rsmG,parA,parA,rplC,rsmG,parA,rsmG,mnmG,parA,rsmG,rsmG,rsmG,virB4_1,spo0J,group_1001
group_1297,group_426,group_426,group_426,group_426,group_426,spo0J,parA,parA,spo0J,spo0J,rpsJ,parA,spo0J,parA,rsmG,spo0J,parA,parA,parA,group_1965,ettA,group_1000
kdsA,ettA,ettA,ettA,ettA,ettA,group_426,spo0J,spo0J,group_426,group_426,tufA,spo0J,group_426,spo0J,parA,group_426,spo0J,spo0J,spo0J,group_1966,group_1297,group_2971
group_1299,group_1297,group_1297,group_1297,group_1297,group_1297,ettA,group_426,group_426,ettA,ettA,rlmB,group_426,ettA,group_426,spo0J,ettA,group_426,group_426,group_426,group_1024,kdsA,group_2972
group_1300,kdsA,kdsA,kdsA,kdsA,kdsA,group_1297,ettA,ettA,group_1297,group_1297,group_818,ettA,group_1297,ettA,group_426,group_1297,ettA,ettA,ettA,group_1025,group_2481,group_2973
group_1301,group_1300,group_1300,group_1300,group_1300,group_1300,kdsA,group_1297,group_1297,kdsA,kdsA,fumC,group_1297,kdsA,group_1297,ettA,kdsA,group_1297,group_1297,group_1297,group_1967,group_2482,carD
group_427,group_1301,group_1301,group_1301,group_1301,group_1301,group_1299,kdsA,kdsA,group_1299,group_1299,group_819,kdsA,group_1299,kdsA,group_1297,group_1299,kdsA,kdsA,kdsA,group_1026,group_2483,group_2974
erpA,group_427,group_427,group_427,group_427,group_427,group_1300,group_1299,group_1299,group_1300,group_1300,ftsZ,group_1299,group_1300,group_1299,kdsA,group_1300,group_1299,group_1299,group_1299,group_1968,erpA,group_2975
group_1303,group_950,group_950,group_950,group_950,group_950,group_1301,group_1300,group_1300,group_1301,group_1301,group_388,group_1300,group_1301,group_1300,group_1299,group_1301,group_1300,group_1300,group_1300,group_1969,group_1303,group_2976
argS,erpA,erpA,erpA,erpA,erpA,group_427,group_1301,group_1301,group_427,group_427,group_1632,group_1301,group_427,group_1301,group_1300,group_427,group_1301,group_1301,group_1301,group_1970,argS,group_1918
group_429,group_1303,group_1303,group_1303,group_1303,group_1303,group_950,group_427,group_427,group_950,group_950,eco_1,group_427,group_950,group_427,group_1301,group_950,group_427,group_427,group_427,group_1971,group_429,group_2977
parC,argS,argS,argS,argS,argS,erpA,group_950,group_950,erpA,erpA,eco_2,group_950,erpA,group_950,group_427,erpA,group_950,group_950,group_950,group_1027,parC,group_2978
group_1304,group_429,group_429,group_429,group_429,group_429,group_1303,erpA,erpA,group_1303,group_1303,nfuA,erpA,group_1303,erpA,group_950,group_1303,erpA,erpA,erpA,group_1028,group_2485,group_2979
group_430,parC,parC,parC,parC,parC,argS,group_1303,group_1303,argS,argS,ampG_3,group_1303,argS,group_1303,erpA,argS,group_1303,group_1303,group_1303,group_1029,group_430,group_1031
dcd,group_430,group_430,group_430,group_430,group_430,group_429,argS,argS,group_429,group_429,cshA,argS,group_429,argS,group_1303,group_429,argS,argS,argS,group_1030,dcd,group_1032
secB,dcd,dcd,dcd,dcd,dcd,parC,group_429,group_429,parC,parC,cspA,group_429,parC,group_429,argS,parC,group_429,group_429,group_429,group_1972,secB,hflC
ctrA,secB,secB,secB,secB,secB,group_1304,parC,parC,group_1304,group_1304,rsmA,parC,group_1304,parC,group_429,group_1304,parC,parC,parC,group_1973,ctrA,group_2980
